area_code,available_forecast_rows,elapsed_seconds,expected_forecast_rows,forecast_origin_utc,forecast_rows,mode,note,origin,phase,reason,shared_model,status,timestamp
SE1,,0.0,,,36,L1_origin_known_fallback,,2026-01-07T06:00:00+01:00,test,,,done,2026-06-08T10:48:29Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2026-01-07T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:29Z
SE1,,0.0,,,36,L2_recursive_lags,,2026-01-07T06:00:00+01:00,test,,,done,2026-06-08T10:48:29Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2026-01-12T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:30Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2026-01-12T06:00:00+01:00,test,,,done,2026-06-08T10:48:30Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2026-01-12T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:30Z
SE1,,1.0,,,36,L2_recursive_lags,,2026-01-12T06:00:00+01:00,test,,,done,2026-06-08T10:48:31Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2026-01-17T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:32Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2026-01-17T06:00:00+01:00,test,,,done,2026-06-08T10:48:32Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2026-01-17T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:32Z
SE1,,0.0,,,36,L2_recursive_lags,,2026-01-17T06:00:00+01:00,test,,,done,2026-06-08T10:48:32Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2026-01-22T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:33Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2026-01-22T06:00:00+01:00,test,,,done,2026-06-08T10:48:33Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2026-01-22T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:33Z
SE1,,0.0,,,36,L2_recursive_lags,,2026-01-22T06:00:00+01:00,test,,,done,2026-06-08T10:48:33Z
SE1,,2.0,,,,L1_origin_known_fallback,shared model fit reused,2026-01-27T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:35Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2026-01-27T06:00:00+01:00,test,,,done,2026-06-08T10:48:35Z
SE1,,2.0,,,,L2_recursive_lags,shared model fit reused,2026-01-27T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:35Z
SE1,,0.0,,,36,L2_recursive_lags,,2026-01-27T06:00:00+01:00,test,,,done,2026-06-08T10:48:35Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2026-02-01T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:36Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2026-02-01T06:00:00+01:00,test,,,done,2026-06-08T10:48:36Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2026-02-01T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:36Z
SE1,,0.0,,,36,L2_recursive_lags,,2026-02-01T06:00:00+01:00,test,,,done,2026-06-08T10:48:36Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2026-02-06T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:37Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2026-02-06T06:00:00+01:00,test,,,done,2026-06-08T10:48:37Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2026-02-06T06:00:00+01:00,train,,HGB_no_price,done,2026-06-08T10:48:37Z
