forecast_origin_timestamp_utc,target_timestamp_utc,horizon_h,split,target_consumption_se1_mw,weather_proxy_label,price_forecast_source,forecast_se1_price_target_hour,pred_HGB_no_price,pred_HGB_with_p0054h_price_forecast,pred_ExtraTrees_no_price,pred_ExtraTrees_with_p0054h_price_forecast,pred_LightGBM_no_price,pred_LightGBM_with_p0054h_price_forecast,pred_XGBoost_no_price,pred_XGBoost_with_p0054h_price_forecast
2022-06-14T23:00:00Z,2022-06-17T22:00:00Z,72,train_fit,1023.901355,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.2916,,,,,,,,
2022-06-14T23:00:00Z,2022-06-18T22:00:00Z,96,train_fit,979.885472,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.11276,,,,,,,,
2022-06-14T23:00:00Z,2022-06-19T22:00:00Z,120,train_fit,1036.550655,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.17538,,,,,,,,
2022-06-14T23:00:00Z,2022-06-20T22:00:00Z,144,train_fit,1033.166469,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.1393,,,,,,,,
2022-06-14T23:00:00Z,2022-06-21T22:00:00Z,168,train_fit,1017.428574,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.12365,,,,,,,,
2022-06-15T23:00:00Z,2022-06-15T23:00:00Z,1,train_fit,989.336224,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.34388,,,,,,,,
2022-06-15T23:00:00Z,2022-06-16T01:00:00Z,3,train_fit,1007.486671,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.31998,,,,,,,,
2022-06-15T23:00:00Z,2022-06-16T04:00:00Z,6,train_fit,1107.806303,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.42559,,,,,,,,
2022-06-15T23:00:00Z,2022-06-16T10:00:00Z,12,train_fit,1185.600762,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.92865,,,,,,,,
2022-06-15T23:00:00Z,2022-06-16T22:00:00Z,24,train_fit,1059.316997,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.4027,,,,,,,,
2022-06-15T23:00:00Z,2022-06-17T22:00:00Z,48,train_fit,1023.901355,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.2916,,,,,,,,
2022-06-15T23:00:00Z,2022-06-18T22:00:00Z,72,train_fit,979.885472,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.11276,,,,,,,,
2022-06-15T23:00:00Z,2022-06-19T22:00:00Z,96,train_fit,1036.550655,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.17538,,,,,,,,
2022-06-15T23:00:00Z,2022-06-20T22:00:00Z,120,train_fit,1033.166469,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.1393,,,,,,,,
2022-06-15T23:00:00Z,2022-06-21T22:00:00Z,144,train_fit,1017.428574,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.12365,,,,,,,,
2022-06-15T23:00:00Z,2022-06-22T22:00:00Z,168,train_fit,1018.648577,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.13319,,,,,,,,
2022-06-16T23:00:00Z,2022-06-16T23:00:00Z,1,train_fit,1043.806694,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.38497,,,,,,,,
2022-06-16T23:00:00Z,2022-06-17T01:00:00Z,3,train_fit,1023.736194,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.18078,,,,,,,,
2022-06-16T23:00:00Z,2022-06-17T04:00:00Z,6,train_fit,1101.586554,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.41622,,,,,,,,
2022-06-16T23:00:00Z,2022-06-17T10:00:00Z,12,train_fit,1171.428838,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.61745,,,,,,,,
2022-06-16T23:00:00Z,2022-06-17T22:00:00Z,24,train_fit,1023.901355,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.2916,,,,,,,,
2022-06-16T23:00:00Z,2022-06-18T22:00:00Z,48,train_fit,979.885472,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.11276,,,,,,,,
2022-06-16T23:00:00Z,2022-06-19T22:00:00Z,72,train_fit,1036.550655,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.17538,,,,,,,,
2022-06-16T23:00:00Z,2022-06-20T22:00:00Z,96,train_fit,1033.166469,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.1393,,,,,,,,
2022-06-16T23:00:00Z,2022-06-21T22:00:00Z,120,train_fit,1017.428574,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.12365,,,,,,,,
2022-06-16T23:00:00Z,2022-06-22T22:00:00Z,144,train_fit,1018.648577,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.13319,,,,,,,,
2022-06-16T23:00:00Z,2022-06-23T22:00:00Z,168,train_fit,1014.122439,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.29897,,,,,,,,
2022-06-17T23:00:00Z,2022-06-17T23:00:00Z,1,train_fit,999.135359,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.2067,,,,,,,,
2022-06-17T23:00:00Z,2022-06-18T01:00:00Z,3,train_fit,988.220922,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.14287,,,,,,,,
2022-06-17T23:00:00Z,2022-06-18T04:00:00Z,6,train_fit,1010.883489,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.26739,,,,,,,,
2022-06-17T23:00:00Z,2022-06-18T10:00:00Z,12,train_fit,1131.53338,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.11593,,,,,,,,
