regime,start_timestamp_utc,end_timestamp_utc,length_hours,mean_spread,max_abs_spread
spread_positive,2025-02-19T19:00:00+00:00,2025-02-20T05:00:00+00:00,11,0.44363272727272723,0.7083699999999999
spread_spike_positive,2025-02-20T06:00:00+00:00,2025-02-20T07:00:00+00:00,2,0.8791100000000001,0.92599
spread_positive,2025-02-20T08:00:00+00:00,2025-02-20T21:00:00+00:00,14,0.4146757142857142,0.6506299999999999
spread_small_nonzero,2025-02-20T22:00:00+00:00,2025-02-20T22:00:00+00:00,1,0.08884,0.08884
spread_positive,2025-02-20T23:00:00+00:00,2025-02-20T23:00:00+00:00,1,0.21261,0.21261
spread_small_nonzero,2025-02-21T00:00:00+00:00,2025-02-21T03:00:00+00:00,4,0.10736500000000002,0.12227
spread_positive,2025-02-21T04:00:00+00:00,2025-02-22T00:00:00+00:00,21,0.3853600000000001,0.77327
spread_near_zero,2025-02-22T01:00:00+00:00,2025-02-22T01:00:00+00:00,1,0.03775,0.03775
spread_small_nonzero,2025-02-22T02:00:00+00:00,2025-02-22T05:00:00+00:00,4,0.10591249999999999,0.18466
spread_positive,2025-02-22T06:00:00+00:00,2025-02-22T09:00:00+00:00,4,0.318275,0.33333999999999997
spread_small_nonzero,2025-02-22T10:00:00+00:00,2025-02-22T11:00:00+00:00,2,0.17757499999999998,0.19033
spread_positive,2025-02-22T12:00:00+00:00,2025-02-23T22:00:00+00:00,35,0.3361074285714286,0.37443
spread_near_zero,2025-02-23T23:00:00+00:00,2025-02-23T23:00:00+00:00,1,0.043250000000000004,0.043250000000000004
spread_small_nonzero,2025-02-24T00:00:00+00:00,2025-02-24T00:00:00+00:00,1,0.0739,0.0739
spread_near_zero,2025-02-24T01:00:00+00:00,2025-02-24T04:00:00+00:00,4,0.012315,0.04291
spread_small_nonzero,2025-02-24T05:00:00+00:00,2025-02-24T05:00:00+00:00,1,0.19229000000000002,0.19229000000000002
spread_positive,2025-02-24T06:00:00+00:00,2025-02-24T19:00:00+00:00,14,0.29017,0.34209999999999996
spread_small_nonzero,2025-02-24T20:00:00+00:00,2025-02-24T21:00:00+00:00,2,0.141675,0.19696
spread_near_zero,2025-02-24T22:00:00+00:00,2025-02-25T02:00:00+00:00,5,-0.001514000000000001,0.015829999999999997
spread_small_nonzero,2025-02-25T03:00:00+00:00,2025-02-25T03:00:00+00:00,1,0.15177000000000002,0.15177000000000002
spread_positive,2025-02-25T04:00:00+00:00,2025-02-25T22:00:00+00:00,19,0.3357394736842106,0.37306999999999996
spread_small_nonzero,2025-02-25T23:00:00+00:00,2025-02-26T03:00:00+00:00,5,0.17419199999999999,0.18733
spread_positive,2025-02-26T04:00:00+00:00,2025-02-26T06:00:00+00:00,3,0.4461033333333333,0.68575
spread_spike_positive,2025-02-26T07:00:00+00:00,2025-02-26T07:00:00+00:00,1,0.89927,0.89927
spread_positive,2025-02-26T08:00:00+00:00,2025-02-27T06:00:00+00:00,23,0.40684608695652175,0.77107
spread_spike_positive,2025-02-27T07:00:00+00:00,2025-02-27T08:00:00+00:00,2,0.99965,1.13132
spread_positive,2025-02-27T09:00:00+00:00,2025-02-27T16:00:00+00:00,8,0.54661875,0.7676499999999999
spread_spike_positive,2025-02-27T17:00:00+00:00,2025-02-27T17:00:00+00:00,1,0.9125199999999999,0.9125199999999999
spread_positive,2025-02-27T18:00:00+00:00,2025-02-28T05:00:00+00:00,12,0.37401500000000004,0.6639900000000001
spread_spike_positive,2025-02-28T06:00:00+00:00,2025-02-28T09:00:00+00:00,4,1.403505,1.6801899999999999
spread_positive,2025-02-28T10:00:00+00:00,2025-02-28T15:00:00+00:00,6,0.5611433333333334,0.78222
spread_spike_positive,2025-02-28T16:00:00+00:00,2025-02-28T17:00:00+00:00,2,1.3095400000000001,1.5073
spread_positive,2025-02-28T18:00:00+00:00,2025-03-01T09:00:00+00:00,16,0.463604375,0.69447
spread_small_nonzero,2025-03-01T10:00:00+00:00,2025-03-01T10:00:00+00:00,1,0.17656,0.17656
spread_positive,2025-03-01T11:00:00+00:00,2025-03-01T11:00:00+00:00,1,0.30447,0.30447
spread_small_nonzero,2025-03-01T12:00:00+00:00,2025-03-01T13:00:00+00:00,2,0.15861,0.17812
spread_positive,2025-03-01T14:00:00+00:00,2025-03-01T19:00:00+00:00,6,0.34962333333333334,0.44167
spread_small_nonzero,2025-03-01T20:00:00+00:00,2025-03-01T20:00:00+00:00,1,0.12144,0.12144
spread_near_zero,2025-03-01T21:00:00+00:00,2025-03-01T22:00:00+00:00,2,0.008390000000000002,0.010849999999999999
spread_small_nonzero,2025-03-01T23:00:00+00:00,2025-03-01T23:00:00+00:00,1,0.06302,0.06302
spread_near_zero,2025-03-02T00:00:00+00:00,2025-03-02T16:00:00+00:00,17,0.0029511764705882357,0.028159999999999998
spread_small_nonzero,2025-03-02T17:00:00+00:00,2025-03-02T17:00:00+00:00,1,0.0523,0.0523
spread_near_zero,2025-03-02T18:00:00+00:00,2025-03-03T05:00:00+00:00,12,0.0037333333333333337,0.01319
spread_positive,2025-03-03T06:00:00+00:00,2025-03-03T07:00:00+00:00,2,0.261875,0.31032000000000004
spread_small_nonzero,2025-03-03T08:00:00+00:00,2025-03-03T08:00:00+00:00,1,0.18452000000000002,0.18452000000000002
spread_near_zero,2025-03-03T09:00:00+00:00,2025-03-03T15:00:00+00:00,7,0.003924285714285714,0.010160000000000002
spread_positive,2025-03-03T16:00:00+00:00,2025-03-03T17:00:00+00:00,2,0.24027500000000002,0.24279000000000003
spread_small_nonzero,2025-03-03T18:00:00+00:00,2025-03-03T18:00:00+00:00,1,0.17213,0.17213
spread_near_zero,2025-03-03T19:00:00+00:00,2025-03-04T06:00:00+00:00,12,-0.0011633333333333333,0.0254
spread_small_nonzero,2025-03-04T07:00:00+00:00,2025-03-04T07:00:00+00:00,1,0.07689,0.07689
spread_near_zero,2025-03-04T08:00:00+00:00,2025-03-04T15:00:00+00:00,8,0.01299625,0.049470000000000014
spread_small_nonzero,2025-03-04T16:00:00+00:00,2025-03-04T18:00:00+00:00,3,0.09118,0.10585
spread_near_zero,2025-03-04T19:00:00+00:00,2025-03-05T15:00:00+00:00,21,-0.0023628571428571422,0.0201
spread_positive,2025-03-05T16:00:00+00:00,2025-03-05T17:00:00+00:00,2,0.21,0.2105
spread_small_nonzero,2025-03-05T18:00:00+00:00,2025-03-05T18:00:00+00:00,1,0.13678,0.13678
spread_near_zero,2025-03-05T19:00:00+00:00,2025-03-06T04:00:00+00:00,10,-0.0026699999999999996,0.009909999999999999
spread_positive,2025-03-06T05:00:00+00:00,2025-03-06T08:00:00+00:00,4,0.43130999999999997,0.51015
spread_near_zero,2025-03-06T09:00:00+00:00,2025-03-06T13:00:00+00:00,5,-0.00037400000000000004,0.016299999999999995
spread_small_nonzero,2025-03-06T14:00:00+00:00,2025-03-06T14:00:00+00:00,1,0.07036,0.07036
spread_positive,2025-03-06T15:00:00+00:00,2025-03-06T20:00:00+00:00,6,0.2926383333333333,0.43813
spread_small_nonzero,2025-03-06T21:00:00+00:00,2025-03-07T05:00:00+00:00,9,0.11000444444444443,0.19544999999999998
spread_positive,2025-03-07T06:00:00+00:00,2025-03-07T07:00:00+00:00,2,0.21846000000000002,0.21917000000000003
spread_small_nonzero,2025-03-07T08:00:00+00:00,2025-03-07T10:00:00+00:00,3,0.09914333333333335,0.14005000000000004
spread_near_zero,2025-03-07T11:00:00+00:00,2025-03-07T12:00:00+00:00,2,0.023925000000000002,0.03139
