MAE_0_12h,MAE_0_24h,MAE_0_36h,MAE_0_6h,MAE_24_36h,RMSE_0_36h,absolute_energy_error_MWh_36h,area_code,bias_0_36h,energy_error_percent_36h,forecast_origin_local,forecast_origin_utc,forecast_rows,mean_actual_mw,origin_id,origin_month,origin_weekday,p90_absolute_error,p95_absolute_error,raw_train_rows,signed_energy_error_MWh_36h,train_end,train_rows,train_start,train_window_name,train_window_variant
317.5351540508598,265.0996286474228,330.3971262214187,216.42469101898885,460.9921213694103,371.23561286120355,11314.178628028967,SE2,314.28273966747173,18.78030422156608,2025-12-18T06:00:00+01:00,2025-12-18T05:00:00Z,36,1673.4699074074076,20251218T060000+0100,12,3,524.0868664972512,554.41256962941,5240,11314.178628028967,2025-12-18T05:00:00Z,5240,2023-12-18T05:00:00Z,rolling_2_years,TW2
253.80038017476002,220.9541180882222,281.3356599439272,161.56697272714234,402.09874365533733,316.83696401928177,9515.243273704124,SE2,264.31231315844815,15.794267467165207,2025-12-18T06:00:00+01:00,2025-12-18T05:00:00Z,36,1673.4699074074076,20251218T060000+0100,12,3,453.54310018374963,493.66991469579574,7857,9515.243273704124,2025-12-18T05:00:00Z,7857,2022-12-18T05:00:00Z,rolling_3_years,TW3
296.9665732509737,271.64230660570365,336.83005348350497,161.69340504279754,467.2055472391076,381.7246900742503,11619.06294862696,SE2,322.75174857297105,19.286378986819567,2025-12-18T06:00:00+01:00,2025-12-18T05:00:00Z,36,1673.4699074074076,20251218T060000+0100,12,3,551.2160469877978,570.5122523195593,9218,11619.06294862696,2025-12-18T05:00:00Z,9218,2022-06-01T00:00:00Z,expanding_from_2022_06_01,TWX
630.1549321943334,736.812620716038,639.9049474135094,469.7486275705664,446.08960080845173,705.7189814577775,1556.8598966424906,SE2,43.24610824006931,2.0004538753137244,2025-12-23T06:00:00+01:00,2025-12-23T05:00:00Z,36,2161.8148148148152,20251223T060000+0100,12,1,1012.3184251474394,1163.3886784665083,5240,1556.8598966424906,2025-12-23T05:00:00Z,5240,2023-12-23T05:00:00Z,rolling_2_years,TW2
794.1776864067034,772.2609037295997,643.8456351591166,630.3015253243481,387.0150980181502,710.2650251441795,2833.389522227153,SE2,-78.70526450630975,3.640703355668873,2025-12-23T06:00:00+01:00,2025-12-23T05:00:00Z,36,2161.8148148148152,20251223T060000+0100,12,1,1034.6571914501048,1045.198002934123,7857,-2833.389522227153,2025-12-23T05:00:00Z,7857,2022-12-23T05:00:00Z,rolling_3_years,TW3
775.5648025525879,754.007219435091,610.7391124361234,598.5497131879952,324.20289843818813,685.1698561235032,3996.7480445574765,SE2,-111.02077901548516,5.13553604382139,2025-12-23T06:00:00+01:00,2025-12-23T05:00:00Z,36,2161.8148148148152,20251223T060000+0100,12,1,1018.899912746223,1072.6058070370732,9254,-3996.7480445574765,2025-12-23T05:00:00Z,9254,2022-06-01T00:00:00Z,expanding_from_2022_06_01,TWX
132.7699756144997,113.71722611565163,141.32904613921335,134.17466626691098,196.5526861863367,165.1893291449005,3573.60475116437,SE2,-99.26679864345465,4.765823043801838,2025-12-28T06:00:00+01:00,2025-12-28T05:00:00Z,36,2082.8888888888887,20251228T060000+0100,12,6,256.10884292675337,284.1677558079699,5241,-3573.60475116437,2025-12-28T05:00:00Z,5241,2023-12-28T05:00:00Z,rolling_2_years,TW2
104.32797079183837,96.37579761521222,95.76297900047203,117.99909746654733,94.53734177099165,114.62056153207372,340.0938308492041,SE2,-9.447050856922386,0.4535551995748481,2025-12-28T06:00:00+01:00,2025-12-28T05:00:00Z,36,2082.8888888888887,20251228T060000+0100,12,6,193.39603696784116,206.6715718544819,7857,-340.0938308492041,2025-12-28T05:00:00Z,7857,2022-12-28T05:00:00Z,rolling_3_years,TW3
113.8792717477669,104.53924684638882,106.18772331257794,137.7358873742769,109.48467624495622,130.71262029483236,1500.3026051961497,SE2,-41.67507236655964,2.0008303173959106,2025-12-28T06:00:00+01:00,2025-12-28T05:00:00Z,36,2082.8888888888887,20251228T060000+0100,12,6,227.15608227610926,242.05952844027996,9290,-1500.3026051961497,2025-12-28T05:00:00Z,9290,2022-06-01T00:00:00Z,expanding_from_2022_06_01,TWX
133.2357273337915,160.96396168818532,243.15484922566668,98.61882157846246,407.5366243006292,292.4734062117475,8753.57457212401,SE2,243.15484922566668,11.592487920096158,2026-01-02T06:00:00+01:00,2026-01-02T05:00:00Z,36,2097.5208333333335,20260102T060000+0100,1,4,498.1677040631539,527.4479355653195,5241,8753.57457212401,2026-01-02T05:00:00Z,5241,2024-01-02T05:00:00Z,rolling_2_years,TW2
70.33753309475757,77.97544533351129,123.90361535870281,76.82435286817342,215.7599554090858,169.20506065736552,1968.0196968363161,SE2,54.66721380100858,2.6062775125876994,2026-01-02T06:00:00+01:00,2026-01-02T05:00:00Z,36,2097.5208333333335,20260102T060000+0100,1,4,297.7686259733682,339.4218019140674,7857,1968.0196968363161,2026-01-02T05:00:00Z,7857,2023-01-02T05:00:00Z,rolling_3_years,TW3
91.59368247251116,103.94896893166283,135.8636238513401,73.02526834377879,199.69293369069462,169.2570671525238,2425.374799877798,SE2,67.37152221882849,3.2119596214814425,2026-01-02T06:00:00+01:00,2026-01-02T05:00:00Z,36,2097.5208333333335,20260102T060000+0100,1,4,263.47881782979334,311.56288947535495,9326,2425.374799877798,2026-01-02T05:00:00Z,9326,2022-06-01T00:00:00Z,expanding_from_2022_06_01,TWX
699.9787266971101,482.7852169510042,384.2474684944026,720.0125540375942,187.17197158119947,472.130222463344,8711.438877594992,SE2,-241.98441326652744,9.788536843384925,2026-01-07T06:00:00+01:00,2026-01-07T05:00:00Z,36,2472.1203703703704,20260107T060000+0100,1,2,756.1302179095912,822.0456896567357,5241,-8711.438877594992,2026-01-07T05:00:00Z,5241,2024-01-07T05:00:00Z,rolling_2_years,TW2
345.56974340215294,292.54440916580114,351.4877234650841,349.54575064935256,469.3743520636501,380.2082519710153,2111.855218632656,SE2,58.66264496201752,2.3729687949308653,2026-01-07T06:00:00+01:00,2026-01-07T05:00:00Z,36,2472.1203703703704,20260107T060000+0100,1,2,554.8483390756894,558.4716583244349,7857,2111.855218632656,2026-01-07T05:00:00Z,7857,2023-01-07T05:00:00Z,rolling_3_years,TW3
282.8724967132469,232.665241343779,346.20502424581144,301.5218913026835,573.2845900498762,399.8750456925909,3825.4907746753597,SE2,106.26363262987111,4.298481332199484,2026-01-07T06:00:00+01:00,2026-01-07T05:00:00Z,36,2472.1203703703704,20260107T060000+0100,1,2,613.3012315108206,691.6900329259968,9362,3825.4907746753597,2026-01-07T05:00:00Z,9362,2022-06-01T00:00:00Z,expanding_from_2022_06_01,TWX
94.81329096252584,128.87453036114036,188.73747596862216,82.44542436457095,308.4633671835858,227.104272719167,2889.1463108806493,SE2,80.25406419112905,2.995540417665068,2026-01-12T06:00:00+01:00,2026-01-12T05:00:00Z,36,2679.1180555555557,20260112T060000+0100,1,0,347.4759474566699,395.83886756251263,5241,2889.1463108806493,2026-01-12T05:00:00Z,5241,2024-01-12T05:00:00Z,rolling_2_years,TW2
95.44490878252346,118.8348210941769,131.2879647158665,72.62168512323676,156.19425195924586,162.03451990103,605.2196860681725,SE2,16.811657946338315,0.627507172051512,2026-01-12T06:00:00+01:00,2026-01-12T05:00:00Z,36,2679.1180555555557,20260112T060000+0100,1,0,251.01123439287585,294.30437141997936,7857,605.2196860681725,2026-01-12T05:00:00Z,7857,2023-01-12T05:00:00Z,rolling_3_years,TW3
107.79019872349961,131.65309930913557,156.13976466028714,97.00862417364624,205.11309536259014,185.02252485772303,896.3070072480914,SE2,24.897416868003106,0.9293139141955311,2026-01-12T06:00:00+01:00,2026-01-12T05:00:00Z,36,2679.1180555555557,20260112T060000+0100,1,0,236.8275245933305,345.92784530314145,9398,896.3070072480914,2026-01-12T05:00:00Z,9398,2022-06-01T00:00:00Z,expanding_from_2022_06_01,TWX
