family,name,horizon_h,split,row_count,MAE,RMSE,median_absolute_error,p90_absolute_error,p95_absolute_error,bias,sMAPE,R2,mean_actual_mw,median_actual_mw,p10_actual_mw,p90_actual_mw,MAE_percent_of_mean,MAE_percent_of_median
baseline,pred_B3_seasonal_hour_weekday_profile,24,validate,3624,465.70912717307107,480.47178313664887,495.128592694444,587.1862074093746,609.023248990625,465.70912717307107,0.8055167248295516,-108.59502435714565,336.75393188417434,336.531726875,272.780849925,397.0144116,138.29359751417854,138.38490994522255
baseline,pred_B3_seasonal_hour_weekday_profile,24,holdout,8615,380.3765463007264,399.5621247292439,340.8216552884611,555.5910952833333,591.7716337374997,380.3765463007264,0.7476252779359817,-54.50332289649038,309.6312977542073,292.32350125,253.32155755,394.5787484,122.84822272801321,130.12178106590954
baseline,pred_B3_seasonal_hour_weekday_profile,48,validate,3624,465.70912717307107,480.47178313664887,495.128592694444,587.1862074093746,609.023248990625,465.70912717307107,0.8055167248295516,-108.59502435714565,336.75393188417434,336.531726875,272.780849925,397.0144116,138.29359751417854,138.38490994522255
baseline,pred_B3_seasonal_hour_weekday_profile,48,holdout,8615,380.3765463007264,399.5621247292439,340.8216552884611,555.5910952833333,591.7716337374997,380.3765463007264,0.7476252779359817,-54.50332289649038,309.6312977542073,292.32350125,253.32155755,394.5787484,122.84822272801321,130.12178106590954
baseline,pred_B3_seasonal_hour_weekday_profile,72,validate,3624,465.70912717307107,480.47178313664887,495.128592694444,587.1862074093746,609.023248990625,465.70912717307107,0.8055167248295516,-108.59502435714565,336.75393188417434,336.531726875,272.780849925,397.0144116,138.29359751417854,138.38490994522255
baseline,pred_B3_seasonal_hour_weekday_profile,72,holdout,8615,380.3765463007264,399.5621247292439,340.8216552884611,555.5910952833333,591.7716337374997,380.3765463007264,0.7476252779359817,-54.50332289649038,309.6312977542073,292.32350125,253.32155755,394.5787484,122.84822272801321,130.12178106590954
baseline,pred_B3_seasonal_hour_weekday_profile,96,validate,3624,465.70912717307107,480.47178313664887,495.128592694444,587.1862074093746,609.023248990625,465.70912717307107,0.8055167248295516,-108.59502435714565,336.75393188417434,336.531726875,272.780849925,397.0144116,138.29359751417854,138.38490994522255
baseline,pred_B3_seasonal_hour_weekday_profile,96,holdout,8615,380.3765463007264,399.5621247292439,340.8216552884611,555.5910952833333,591.7716337374997,380.3765463007264,0.7476252779359817,-54.50332289649038,309.6312977542073,292.32350125,253.32155755,394.5787484,122.84822272801321,130.12178106590954
baseline,pred_B3_seasonal_hour_weekday_profile,120,validate,3624,465.70912717307107,480.47178313664887,495.128592694444,587.1862074093746,609.023248990625,465.70912717307107,0.8055167248295516,-108.59502435714565,336.75393188417434,336.531726875,272.780849925,397.0144116,138.29359751417854,138.38490994522255
baseline,pred_B3_seasonal_hour_weekday_profile,120,holdout,8615,380.3765463007264,399.5621247292439,340.8216552884611,555.5910952833333,591.7716337374997,380.3765463007264,0.7476252779359817,-54.50332289649038,309.6312977542073,292.32350125,253.32155755,394.5787484,122.84822272801321,130.12178106590954
baseline,pred_B3_seasonal_hour_weekday_profile,144,validate,3624,465.70912717307107,480.47178313664887,495.128592694444,587.1862074093746,609.023248990625,465.70912717307107,0.8055167248295516,-108.59502435714565,336.75393188417434,336.531726875,272.780849925,397.0144116,138.29359751417854,138.38490994522255
baseline,pred_B3_seasonal_hour_weekday_profile,144,holdout,8615,380.3765463007264,399.5621247292439,340.8216552884611,555.5910952833333,591.7716337374997,380.3765463007264,0.7476252779359817,-54.50332289649038,309.6312977542073,292.32350125,253.32155755,394.5787484,122.84822272801321,130.12178106590954
baseline,pred_B3_seasonal_hour_weekday_profile,168,validate,3624,465.70912717307107,480.47178313664887,495.128592694444,587.1862074093746,609.023248990625,465.70912717307107,0.8055167248295516,-108.59502435714565,336.75393188417434,336.531726875,272.780849925,397.0144116,138.29359751417854,138.38490994522255
baseline,pred_B3_seasonal_hour_weekday_profile,168,holdout,8615,380.3765463007264,399.5621247292439,340.8216552884611,555.5910952833333,591.7716337374997,380.3765463007264,0.7476252779359817,-54.50332289649038,309.6312977542073,292.32350125,253.32155755,394.5787484,122.84822272801321,130.12178106590954
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,1,validate,3624,17.153119095681248,20.788824286158334,15.723941524637922,33.24358230394727,38.49640632965529,0.39932168367208365,0.05275687805831565,0.7948294990166287,336.75393188417434,336.531726875,272.780849925,397.0144116,5.093665573467162,5.097028816558664
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,1,holdout,8615,15.744381492417727,19.038627911246536,14.254691208688598,30.422212281018464,35.13320686655344,0.007659730097085949,0.05323997456852204,0.8739851725919657,309.6312977542073,292.32350125,253.32155755,394.5787484,5.084880503558136,5.3859444844815485
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,3,validate,3624,17.477942038808475,21.250612346279567,15.728319589480975,34.13494456308797,39.436393151131895,0.45117297715821764,0.053659772575004955,0.7856132404807277,336.75393188417434,336.531726875,272.780849925,397.0144116,5.1901226337633295,5.193549565476902
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,3,holdout,8615,16.009065059127693,19.452526076203608,14.346350220314122,31.273466478507032,36.43725415272033,0.012314460083543498,0.054007515238074594,0.8684465115306745,309.6312977542073,292.32350125,253.32155755,394.5787484,5.170363970064831,5.476489228772773
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,6,validate,3624,17.955784064252583,21.907973303183343,16.092229233344938,35.40518567051738,40.8188649086755,0.5293516048198706,0.054984981434911664,0.7721445252065962,336.75393188417434,336.531726875,272.780849925,397.0144116,5.332019128563116,5.335539751627046
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,6,holdout,8615,16.41248801100936,20.049679780483743,14.523884318086715,32.43240942140991,37.89052651689982,0.01934793393970563,0.05516609608995933,0.8602456810398872,309.6312977542073,292.32350125,253.32155755,394.5787484,5.300655369806311,5.614494880099675
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,12,validate,3624,18.814624004185383,23.112080769183677,16.574418536180445,37.39159532017534,43.24037020826825,0.6807016946751181,0.05735236791431448,0.7464093977500673,336.75393188417434,336.531726875,272.780849925,397.0144116,5.587053994860742,5.5907430122253565
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,12,holdout,8615,17.21476843516768,21.186173601823683,15.075026147076642,34.529712708015666,40.349971872246414,0.0350805148571942,0.057492454010394295,0.8439530049909468,309.6312977542073,292.32350125,253.32155755,394.5787484,5.5597636802314385,5.888944392618409
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,24,validate,3624,20.153689874703343,25.11489655016471,17.365322188266788,40.9734964696795,47.94509020519079,0.9755350978409338,0.061046152511044255,0.7005544598554296,336.75393188417434,336.531726875,272.780849925,397.0144116,5.984693263102018,5.988644833534269
