family,name,horizon_h,split,row_count,MAE,RMSE,median_absolute_error,p90_absolute_error,p95_absolute_error,bias,sMAPE,R2
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,3,validate,8760,16.102695220276743,19.617088337286745,14.41642909640774,31.55088081727712,36.498234029510115,-0.04000671167529902,0.05302833106176891,0.8334536870742645
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,3,holdout,3480,17.272965959956277,20.910779752315563,15.37688145688891,33.76758995900481,38.91661243223096,0.5848660276563641,0.05600496844012132,0.8883665505366993
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,6,validate,8760,16.527054432310347,20.223396139020323,14.691858463595565,32.66940350534269,37.92619376707535,-0.04920843991207702,0.0542586163641579,0.8229996582162408
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,6,holdout,3480,17.703930766910485,21.551106796871977,15.62797825678011,35.31291558913116,40.41249635589313,0.7061275096247559,0.05716503354752357,0.881425023498554
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,12,validate,8760,17.361362668402702,21.378312070774736,15.207426364555971,34.538458198303395,40.44005543922363,-0.06783610978698122,0.05669441028348101,0.8022061646198797
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,12,holdout,3480,18.4863984997342,22.716068770572893,16.200154151504705,37.416595412822055,43.0312576930521,0.94836102687212,0.05926387774420517,0.8682592174907641
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,24,validate,8760,18.66469968209323,23.30165065680209,15.99846851092029,37.99894468055873,44.764476471786814,-0.09749807554040517,0.060458220262518125,0.7650154542572705
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,24,holdout,3480,19.886863685377158,24.779214202139926,17.12625905476807,41.61106812965037,48.15179949091638,1.4352577515159197,0.06307746816562909,0.8432422760943071
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,48,validate,8760,20.37055449626383,25.720150811018083,17.108694245628044,42.15072102662617,49.720505893347166,-0.09762333219589579,0.06542633132462788,0.7137055371255556
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,48,holdout,3480,22.305356121368437,28.223354601995823,18.8937946063445,45.63878738144121,53.843239841281225,2.267927325707736,0.06984570314660919,0.796637368126497
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,72,validate,8760,21.068877416657784,26.628260017033952,17.55045285755179,43.58095781242928,51.885165980898435,-0.07493648327679926,0.06735046247383845,0.6931320690268934
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,72,holdout,3480,23.8093645670031,30.516152303128916,19.81866760918598,47.461718786363754,59.413087814097025,2.927302178153255,0.0741997410021444,0.7622538807569244
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,96,validate,8760,21.54486668928608,27.32219714534692,17.727565101569212,45.272021857406386,55.739732571716424,0.01741220635171534,0.06865974376140206,0.6769296007164014
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,96,holdout,3480,25.48618500867325,32.39388577750206,21.396274261474716,50.64230478982135,62.62651005339164,3.462055054802554,0.07897461664276499,0.7320955162680678
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,120,validate,8760,22.572336559198146,28.702095293164323,18.49604535141674,47.76896378197035,58.252057493553046,0.14695684390046718,0.07164673675830495,0.6434724202397819
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,120,holdout,3480,28.03557598235304,35.362304681742806,24.20419507012261,55.554987784695186,69.27056631028852,3.9871151995702796,0.08615360266530182,0.6807469812086588
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,144,validate,8760,23.85418318879161,30.309568013630617,19.814243083960633,49.88012029043377,62.01995214225657,0.18436064286832443,0.07542415651595984,0.6024191843771098
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,144,holdout,3480,30.677278647172443,38.59742069528876,26.033387918835217,63.51002700082622,76.94194691937363,4.585460709765447,0.09351140653445843,0.6196613538630924
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,168,validate,8760,24.63955600609644,31.449481238284584,20.06861901823376,52.578484013137384,63.684490559649085,0.24748353460394798,0.07774029511383454,0.5719515790748211
baseline,pred_B4_recent_24h_mean_adjusted_by_hour_profile,168,holdout,3480,32.6791446193097,41.032778639903114,27.69470300195087,67.3908538940944,85.53903479563951,5.290833326890081,0.09900517859433104,0.5701511751369609
model,M0_Ridge_G0_calendar_only,1,validate,8760,377.0011868828664,392.31323926752367,356.24888180332243,553.0886167089006,581.6348081588208,377.0011868828664,0.7394998329021715,-65.60883775185233
model,M0_Ridge_G0_calendar_only,1,holdout,3480,488.65555676944695,494.98930184652335,507.95529462403044,581.1219659135112,596.0478238784377,488.65555676944695,0.8580361598965368,-61.55262140487368
model,M0_Ridge_G0_calendar_only,3,validate,8760,376.94320135946873,392.27119067655667,356.1634598395684,553.064392760234,581.6661969699029,376.94320135946873,0.7394069112261856,-65.59456009106414
model,M0_Ridge_G0_calendar_only,3,holdout,3480,488.5797693895359,494.93282103574506,507.8279811318155,581.2356415094313,596.2027930491731,488.5797693895359,0.8579378257780385,-61.53834707129882
